name,frequency,mean_age
ANTONIO,715215,54.6
JOSE,641525,60
MANUEL,618891,54
FRANCISCO,530309,56
JUAN,367726,54.9
DAVID,359930,28.3
JOSE ANTONIO,316275,47.3
JAVIER,303247,30.9
JOSE LUIS,301752,51
FRANCISCO JAVIER,289325,42
DANIEL,287431,25.6
JESUS,285447,47
CARLOS,279356,37.1
MIGUEL,255008,45.7
ALEJANDRO,250968,24.1
JOSE MANUEL,246170,44.8
RAFAEL,244201,49.2
PEDRO,236128,52.5
MIGUEL ANGEL,228444,41.1
ANGEL,227241,49.4
JOSE MARIA,216373,52
FERNANDO,209826,47
PABLO,209241,26.2
LUIS,202754,51.1
SERGIO,202312,26
JORGE,190500,32.2
ALBERTO,179981,34.8
JUAN CARLOS,161182,42.7
JUAN JOSE,156691,46.5
ALVARO,150158,20.4
DIEGO,147597,31.5
ADRIAN,144663,17.3
RAUL,138561,28.9
JUAN ANTONIO,137040,46.7
ENRIQUE,134465,48.3
RAMON,131186,56.2
IVAN,130620,22.8
VICENTE,128141,57.3
RUBEN,125246,24.9
OSCAR,121969,31.5
ANDRES,119971,46
JOAQUIN,118155,52.7
JUAN MANUEL,114896,43.7
SANTIAGO,112725,46.5
EDUARDO,108492,42.9
VICTOR,104397,28.8
ROBERTO,98412,37.7
JAIME,97710,40
FRANCISCO JOSE,95972,38.9
MARIO,94940,23.6
IGNACIO,91455,38
ALFONSO,88026,49.3
MARCOS,86360,23.7
SALVADOR,85293,51.9
RICARDO,84282,47.1
JORDI,83330,37.1
EMILIO,77443,55.4
JULIAN,71608,55.5
GUILLERMO,71481,32.7
JULIO,70909,53.1
GABRIEL,69686,36.6
TOMAS,68010,52.7
AGUSTIN,66454,54.4
JOSE MIGUEL,65616,42.5
HUGO,64375,9
MARC,64203,18.5
GONZALO,63121,30.9
JOSE RAMON,60383,50.1
MOHAMED,60078,33.8
FELIX,60041,56.8
JOAN,56731,40.9
NICOLAS,55053,29.3
ISMAEL,54684,27.3
CRISTIAN,53137,21
SAMUEL,50810,19.1
MARTIN,48883,34.6
JOSEP,48737,52.3
MARIANO,48675,58.9
AITOR,48144,20.5
JUAN FRANCISCO,48076,43.4
DOMINGO,47972,59.6
ALFREDO,45488,51.1
JOSE CARLOS,45451,40.6
SEBASTIAN,45131,49
HECTOR,44250,19.5
CESAR,42909,38
FELIPE,42823,53.2
IKER,41154,12.1
JOSE ANGEL,41073,41.8
JOSE IGNACIO,40199,46.7
VICTOR MANUEL,39366,37.2
ALEX,37572,12.1
LUIS MIGUEL,37209,40.6
GREGORIO,36680,60
RODRIGO,35195,21.4
JOSE FRANCISCO,35135,45.4
LUCAS,34796,16.6
JUAN LUIS,34755,44.5
ALBERT,34010,31.1
XAVIER,34008,31.4
LORENZO,33042,54.2
ESTEBAN,32014,49.4
CRISTOBAL,31927,51.3
ANTONIO JOSE,30712,40.1
ARTURO,30146,42.8
EUGENIO,29909,58.8
BORJA,29814,22.7
PAU,28277,14.4
JOSE JAVIER,27953,42.5
JUAN MIGUEL,27295,42.7
JESUS MARIA,26945,51.5
ANTONIO JESUS,26667,33.8
JAUME,26510,44.5
FRANCISCO MANUEL,26108,38.5
AARON,26017,12.6
VALENTIN,25813,53.7
ISAAC,25694,29.4
GERMAN,25572,42.9
JONATHAN,24548,23.8
PEDRO JOSE,24467,42.9
JOSE VICENTE,24253,47.1
MATEO,24096,24.5
MOHAMMED,23762,35.9
ABEL,23635,30.5
ERIC,23504,13.2
ASIER,23502,19.2
JOEL,23382,12.9
MOISES,23005,35.6
ADOLFO,22934,53.8
JUAN RAMON,22626,47.4
MIKEL,22395,23.7
SERGI,22233,21.2
CHRISTIAN,22074,20.3
JUAN PEDRO,21989,44.7
BENITO,21623,60.5
AHMED,21589,41
ISIDRO,21483,56.9
MANUEL JESUS,21146,36.7
IÑIGO,21047,28.5
UNAI,20833,15.6
ERNESTO,20823,48.7
BERNARDO,20638,54.9
GERARDO,20231,53
DARIO,19967,18.3
IZAN,19852,5.8
GERARD,19784,18.3
CARMELO,19753,55.5
MIQUEL,19696,38.3
JON,19490,22.8
ANTONIO MANUEL,19299,38.9
PASCUAL,19212,57.9
ISRAEL,19184,28.3
FEDERICO,18923,53
ORIOL,18536,19.3
FRANCESC,18533,44.6
POL,18495,11.8
OMAR,18401,24.7
ELOY,18167,38.4
JONATAN,17763,26.7
ARNAU,17762,12.5
BRUNO,17573,18.9
BARTOLOME,17542,57.9
JESUS MANUEL,17498,43.1
JOSE ALBERTO,17396,40.4
MARCELINO,17206,62.3
JOSEP MARIA,16970,54.7
JUAN JESUS,16892,40.8
LUIS ALBERTO,16587,41.8
FERMIN,16359,56.3
PERE,16042,49.4
BENJAMIN,15996,48.5
IÑAKI,15966,34.8
AURELIO,15667,60.6
MARCO,15616,15.1
LLUIS,15586,45.4
ANTONI,15445,45.9
ADRIA,15438,15
ELIAS,15428,41.6
ROGER,15375,22.3
CARLES,15327,34.1
PEDRO ANTONIO,15183,45.6
KEVIN,14977,15.6
JOSE ENRIQUE,14666,44.7
MATIAS,14608,45.7
MARCO ANTONIO,14471,36.1
JUAN PABLO,14469,34.8
ALONSO,14447,32.8
EUSEBIO,14413,61.7
ANGEL LUIS,14392,45
JACINTO,14320,60.3
JUAN IGNACIO,14018,44.9
CARLOS ALBERTO,13887,40.8
VICTORIANO,13820,62.5
GUILLEM,13758,17.6
JERONIMO,13748,53.8
FRANCISCO JESUS,13544,35.2
ADAM,13514,7.8
ANDER,13405,17.6
ALEXANDER,13187,25.4
ISIDORO,12952,60.2
ROMAN,12895,45.6
JOSE JUAN,12857,46.3
GUSTAVO,12747,39.6
MARTI,12742,17.6
MANUEL ANGEL,12725,45.6
SAUL,12667,17.4
XABIER,12657,24.2
TEODORO,12612,63.3
GORKA,12564,25.3
DIONISIO,12555,62
FERRAN,12431,26.8
BLAS,12357,56.5
ABRAHAM,12315,22.6
DAMIAN,12286,39.6
CANDIDO,12276,61.5
LUIS FERNANDO,12269,44.6
JUAN BAUTISTA,12264,55.5
SAID,12210,37.5
FLORENCIO,12205,63.8
LUIS MANUEL,12195,41.9
JUSTO,12174,60.9
ARMANDO,12068,50.2
SANTOS,12041,58.2
CARLOS JAVIER,11955,38.1
ENRIC,11948,39.8
PEDRO LUIS,11749,46.9
GINES,11706,51.8
JOSE JOAQUIN,11234,46.2
ERIK,11215,10.4
LEONARDO,11193,42.1
RACHID,11189,36.3
JUAN MARIA,11161,51.1
JOSE DAVID,11117,29.9
YOUSSEF,11108,23.6
ALEIX,11080,14.5
EMILIANO,11066,61.3
EDUARD,10905,31.7
SERAFIN,10850,59.5
YERAY,10790,14.6
OLIVER,10747,17.3
FAUSTINO,10727,62.3
FRANCISCO ANTONIO,10296,44.2
JULEN,10283,16
MAXIMO,10196,55.6
FIDEL,10094,57.1
EMILIO JOSE,9888,35.1
JOSE ANDRES,9883,43.8
RAMIRO,9852,56
AMADOR,9844,58.1
LUIS ANTONIO,9829,47.2
LUIS MARIA,9829,53.5
JESUS ANGEL,9798,45.2
JAIRO,9747,20
CLAUDIO,9587,52.9
JULIO CESAR,9585,41.9
ION,9557,39.7
ALI,9554,33.8
EDGAR,9541,21.1
ROGELIO,9532,58.5
ENEKO,9524,17.4
LUIS ANGEL,9429,45
JAN,9420,12
MUSTAPHA,9317,39.9
SIMON,9297,42.2
LUCIANO,9180,59.7
LEO,9169,3.6
MANUEL ANTONIO,8967,47.4
IGOR,8913,32.9
MODESTO,8878,62
FLORENTINO,8869,64.2
FRANCISCO MIGUEL,8788,40.2
JACOBO,8718,26.9
JOAQUIM,8712,49.3
PEDRO MANUEL,8712,42.7
ALEXANDRE,8688,27.3
ILDEFONSO,8655,56.9
GHEORGHE,8631,45.3
EZEQUIEL,8625,34.6
ALEXIS,8553,23.7
JUAN DIOS,8501,47.9
JOSE FERNANDO,8407,46.6
VASILE,8359,42.8
PAULINO,8358,62
ANDREU,8222,28.9
JUAN VICENTE,8173,47.4
AVELINO,8138,63.1
CELESTINO,8135,62.5
CONSTANTINO,8098,59.4
ELADIO,8061,61.2
SATURNINO,8011,65.7
MANUEL JOSE,8004,46.6
HASSAN,7966,40
LEANDRO,7965,49
IOAN,7919,44.8
JUAN DIEGO,7884,31.8
CARLOS MANUEL,7865,40.4
ANTONIO JAVIER,7820,37.5
JOSE DANIEL,7815,34
ANTONIO MIGUEL,7785,42.2
ANTONIO LUIS,7719,44.6
RUFINO,7714,64.1
JUAN ANDRES,7686,42.9
LUIS JAVIER,7586,43.1
PEDRO MARIA,7586,55.5
CAYETANO,7464,46.4
BIEL,7449,6.2
JORGE LUIS,7421,40.1
PEDRO JESUS,7362,39.4
LUIS CARLOS,7321,43.9
JOSUE,7188,24.3
ROBERT,7129,36.3
NIL,7105,8.9
YAGO,7098,11.9
JUAN ANGEL,7080,46
IAN,7058,11.2
GASPAR,7027,55.5
FABIAN,7021,34.4
FRANCESC XAVIER,7014,45
NESTOR,7005,28.7
ANGEL MANUEL,6948,41.5
CLEMENTE,6938,59.2
MANEL,6915,32.5
BASILIO,6819,59.4
FELICIANO,6785,63.7
IMANOL,6706,27.6
