surnames,frequency_first,frequency_second,frequency_both
DE LOPEZ,99,427,..
ILINCHETA,99,166,..
MESAUD,99,137,..
MALAGUILLA,99,136,..
SANLUIS,99,133,..
CORBATO,99,131,..
ESPINASA,99,130,..
BASAGUREN,99,128,..
CUADRIELLO,99,127,..
MORENCOS,99,126,..
SUSTAETA,99,126,..
INOSTROZA,99,124,..
SIELVA,99,123,..
VEGUILLA,99,123,..
CANDAMIO,99,121,..
MESCUA,99,118,..
PEÑAMARIA,99,118,..
HUARCAYA,99,117,..
ARNALOT,99,116,..
BALMISA,99,116,..
MANOTA,99,116,..
PORTALATIN,99,116,..
USATORRE,99,116,..
VEA MURGUIA,99,116,..
DE VILLA,99,114,..
PUNTA,99,114,..
GUNA,99,113,..
TRUCHERO,99,113,..
MELLIZO,99,112,..
RAIDO,99,112,..
ERBURU,99,111,..
GALLAN,99,109,..
SAGNIER,99,109,..
SABARICH,99,108,..
CALOPA,99,107,..
CASSI,99,107,..
ULLASTRES,99,107,..
GAROS,99,106,..
MAQUIRRIAIN,99,106,..
CULQUI,99,105,..
MICHEO,99,105,..
URRUCHUA,99,104,..
ARISTIN,99,103,..
CLARACO,99,103,..
GAVITO,99,102,..
PEREZ DE VILLARREAL,99,102,..
RETAMINO,99,102,..
BARQUET,99,101,..
COMOJO,99,100,..
DUDAGOITIA,99,100,..
PARET,99,100,..
ERNESTO,99,99,..
ABUJA,99,98,..
BARAZON,99,98,..
CARRICA,99,98,..
CEBAS,99,98,..
SANCHEZ DE MEDINA,99,98,..
TATJE,99,98,..
CAUSERA,99,95,..
ONORATO,99,95,..
URTAZA,99,94,..
FERNANDEZ DE MENDIOLA,99,93,..
REMUJO,99,93,..
ROPA,99,92,..
FANES,99,91,..
NAVO,99,90,..
REMBADO,99,90,..
CALACO,99,89,..
ENSESA,99,89,..
SERRULLA,99,89,..
SEÑORET,99,89,..
CRISPI,99,88,..
PENEVA,99,88,..
GALLEGO DE LERMA,99,87,..
HERBOSO,99,87,..
LA RODA,99,87,..
LOPEZ DE BRIÑAS,99,87,..
SANCHEZ CHIQUITO,99,87,..
JANOHER,99,86,..
PERIN,99,86,..
MUÑOZ DE LA NAVA,99,85,..
PASANAU,99,84,..
LA OSA,99,83,..
TRESPADERNE,99,83,..
CAHUE,99,82,..
LAUT,99,82,..
LLAUDET,99,82,..
MOLLET,99,82,..
CELEDONIO,99,81,..
FERREZUELO,99,81,..
GERALDES,99,80,..
PELEJERO,99,80,..
BARBARIAS,99,79,..
REHECHO,99,79,..
BRIK,99,78,..
ROCOSA,99,78,..
FAULIN,99,77,..
FROCHOSO,99,77,..
NOCITO,99,77,..
CANTONERO,99,76,..
SOBRINOS,99,76,..
VALDELLOS,99,76,..
ESCOTET,99,75,..
LOPEZ VILLALTA,99,75,..
RISALDE,99,75,..
DES,99,74,..
FERNANDEZ DE TEJADA,99,74,..
MANTARAS,99,74,..
GRIGOROVA,99,73,5
CHENEL,99,73,..
LARCO,99,73,..
NICOLAO,99,73,..
GARRA,99,72,..
LASTANAO,99,72,..
POMEDIO,99,71,..
SANCHEZ MEDINA,99,68,..
TALABAN,99,68,..
NCHASO,99,67,..
ZHELYAZKOVA,99,67,..
AYECHU,99,66,..
CAMPAYA,99,66,..
FERNANDEZ GALLARDO,99,65,5
LAYNA,99,64,5
FONTBONA,99,64,..
NOTO,99,64,..
DONCHEV,99,61,..
PUIGDERRAJOLS,99,60,..
URKIRI,99,60,..
DUPRE,99,59,..
DE ZULUETA,99,58,..
VISIERS,99,57,..
AWAD,99,56,..
MUSTAPHA,99,56,..
MONTIS,99,55,..
FAZIO,99,54,..
ANSEDES,99,52,..
CALCAGNO,99,48,..
BONELLI,99,47,..
IYAMU,99,40,..
OUASS,99,33,..
CAVALLO,99,29,..
MAXWELL,99,24,..
BENKIRANE,99,21,..
HEALY,99,20,..
NIASS,99,20,..
PIKE,99,20,..
CUMMINS,99,18,..
ESSAHLI,99,18,..
EL FELLAH,99,16,..
FAGROUCH,99,16,..
ONU,99,15,..
MCLAUGHLIN,99,11,..
BADDOU,99,10,..
LAANANI,99,10,..
SAQIB,99,10,..
AGUILI,99,9,..
BASHARAT,99,8,..
BERAR,99,8,..
HOSU,99,8,..
COLLIER,99,6,..
MANOLESCU,99,6,..
MURTAZA,99,6,..
GEORGIU,99,5,..
GOREA,99,5,..
LUPOIU,99,5,..
PAPARA,99,5,..
BOLBOS,99,..,..
CIRCU,99,..,..
COTEA,99,..,..
HRISCU,99,..,..
SHOAIB,99,..,..
TABACARU,99,..,..
PERALEDA,98,143,..
GASQUET,98,142,..
DE OÑATE,98,135,..
PLANISI,98,135,..
DO SANTOS,98,134,..
CIURANETA,98,133,..
TRIVEZ,98,130,..
CAÑARDO,98,129,..
VALDERICEDA,98,128,..
BREVAL,98,127,..
TETILLA,98,123,7
DABLANCA,98,123,..
BOHER,98,122,..
RAMIRES,98,121,..
RIALP,98,121,..
MARECA,98,120,..
ORUBE,98,120,..
SASTRIQUES,98,119,..
SERA,98,119,..
GONZABAY,98,118,..
PALONES,98,117,..
REBOLLOSO,98,117,..
CORCOLL,98,113,..
EMBIL,98,113,..
ALFARA,98,112,..
RAMELLS,98,112,..
BLANDIN,98,111,..
IPAS,98,111,..
MONTILA,98,111,..
AMANCIO,98,110,..
CADAYA,98,110,..
CHARRY,98,110,..
OSPINO,98,110,..
PIÑEROS,98,110,..
ROLANIA,98,110,..
UTRABO,98,110,..
CASANA,98,109,..
LOMBIDE,98,109,..
BARBADILLA,98,108,..
LACERDA,98,108,..
POSADILLA,98,108,..
ALCORISA,98,107,..
AZLOR,98,107,..
LORT,98,106,..
MUSOLES,98,106,..
MARCULETA,98,105,..
ELEZCANO,98,104,..
MANCLUS,98,104,..
GUMERSINDO,98,103,..
SAINZ DE ROZAS,98,103,..
ALVELO,98,102,..
GIRAUT,98,101,..
USECHE,98,101,..
BOETA,98,100,..
PALMIER,98,100,..
HENAR,98,99,..
LEGRAN,98,99,..
MARCOBAL,98,99,..
VAQUERIZA,98,98,5
CERRAJERIA,98,97,..
YUGCHA,98,96,..
GUDAYOL,98,95,..
MENDIONDO,98,95,..
PEG,98,94,..
LOPEZ MANZANARES,98,92,..
OLARREAGA,98,92,..
BRAJONES,98,91,..
LAHORA,98,90,..
LEANTE,98,90,..
RUIX,98,90,..
CO,98,88,..
BACARDI,98,87,..
NEDYALKOVA,98,87,..
TROITEIRO,98,87,..
VIELSA,98,87,..
CARRAZANA,98,85,..
DESCHAMPS,98,85,..
FRIERO,98,85,..
GOMEZ CORNEJO,98,85,..
MARTINEZ DE LA PERA,98,85,..
OGUIZA,98,85,..
PUIGVI,98,85,..
BELLORIN,98,84,..
RICALDI,98,84,..
SAN VALENTIN,98,84,..
BUDO,98,83,..
MARTINEZ PARDO,98,83,..
SAGRE,98,83,..
BRIEBA,98,82,..
CAUSO,98,82,..
DE LA ANTONIA,98,82,..
ISAR,98,82,..
MAYOLA,98,82,..
CABRUJA,98,81,..
SEIRA,98,81,..
RUIZ DE VILLA,98,80,..
SEL LAM,98,80,..
DE BUEN,98,79,..
MENEN,98,78,..
PILATASIG,98,77,..
ELARRE,98,76,..
MALLAGARAY,98,76,..
TAZA,98,76,..
PORTALS,98,75,..
POUSIBET,98,75,..
RARIS,98,75,..
DIAZ LLANOS,98,73,..
GAMEIRO,98,73,..
LAURIA,98,73,..
RUIZ DE AUSTRI,98,72,5
SAETEROS,98,72,..
AURELIO,98,71,..
FUENTESECA,98,71,..
TILVES,98,71,..
NUÑEZ CACHO,98,70,..
MILANS DEL BOSCH,98,69,..
BASURKO,98,68,..
MATXAIN,98,68,..
TRENCH,98,67,..
ALABADI,98,66,..
CARALPS,98,65,..
FATUARTE,98,61,..
HORNEDO,98,61,..
DAMIANI,98,59,..
MONE,98,59,..
BARBEYTO,98,58,..
ELKORO,98,58,..
BEUMALA,98,56,..
PEDRAJO,98,56,..
LLES,98,53,..
SERAFINI,98,53,..
BRANDAN,98,52,..
HOPPE,98,47,..
MAZZEO,98,41,..
GONTA,98,39,..
GORI,98,38,..
HADJ,98,36,..
RUGGERI,98,36,..
CHAABAN,98,35,..
WALTHER,98,34,..
EL MEKKAOUI,98,33,..
BENJILALI,98,32,..
AYRES,98,30,..
BOCK,98,30,..
PASTORE,98,29,..
